normalTime ,criticalTime ,miscTime ,totTime  ,minCostFunctional ,optRetType
  0.005351 ,    0.181697 ,       0 ,0.187048 ,0.0138743         ,1
  0.002149 ,    0.136892 ,       0 ,0.139041 ,0.0140541         ,1
  0.001184 ,    0.15479  ,       0 ,0.155974 ,0.0139165         ,1
  0.008988 ,    1.6177   ,       0 ,1.62668  ,0.0145095         ,1
  0.005247 ,    4.69965  ,       0 ,4.7049   ,0.0154566         ,1
  0.002646 ,    0.750113 ,       0 ,0.752759 ,0.0145354         ,1
  0.004131 ,    0.931651 ,       0 ,0.935782 ,inf               ,-1009
  0.001389 ,    0.190464 ,       0 ,0.191853 ,0.0138839         ,1
  0.001362 ,    0.169004 ,       0 ,0.170366 ,0.013592          ,1
  0.009701 ,    0.682557 ,       0 ,0.692258 ,0.0137579         ,1
  0.007684 ,    1.83721  ,       0 ,1.8449   ,0.0359497         ,1
  0.001675 ,    0.162107 ,       0 ,0.163782 ,0.0137424         ,1
  0.003332 ,    0.183878 ,       0 ,0.18721  ,0.0135146         ,1
  0.001847 ,    0.16266  ,       0 ,0.164507 ,0.0138931         ,1
  0.002321 ,    1.29413  ,       0 ,1.29645  ,0.0152809         ,1
  0.005719 ,    0.23351  ,       0 ,0.239229 ,0.0138509         ,1
  0.002323 ,    0.221997 ,       0 ,0.22432  ,0.0138431         ,1
  0.002318 ,    0.228386 ,       0 ,0.230704 ,0.0138604         ,1
  0.005697 ,    0.207589 ,       0 ,0.213286 ,0.0130335         ,1
  0.001538 ,    0.18756  ,       0 ,0.189098 ,0.0137426         ,1
  0.002161 ,    1.948    ,       0 ,1.95016  ,0.0360457         ,1
  0.008487 ,    0.181808 ,       0 ,0.190295 ,0.0137832         ,1
  0.002557 ,    1.12827  ,       0 ,1.13083  ,0.0149686         ,1
  0.002382 ,    4.5325   ,       0 ,4.53488  ,inf               ,-1009
  0.008771 ,    0.504649 ,       0 ,0.51342  ,0.0150042         ,1
  0.004557 ,    0.260064 ,       0 ,0.264621 ,0.0137998         ,1
  0.003822 ,    0.298999 ,       0 ,0.302821 ,0.0141118         ,1
  0.003684 ,    0.175881 ,       0 ,0.179565 ,0.013962          ,1
  0.001595 ,    0.174234 ,       0 ,0.175829 ,0.0148328         ,1
  0.001809 ,    1.0419   ,       0 ,1.0437   ,0.0307728         ,1
  0.007181 ,    0.259373 ,       0 ,0.266554 ,0.0151565         ,1
  0.003202 ,    0.284716 ,       0 ,0.287918 ,0.0140289         ,1
  0.002351 ,    0.157501 ,       0 ,0.159852 ,0.0134408         ,1
  0.004468 ,    0.863673 ,       0 ,0.868141 ,0.017607          ,1
  0.001912 ,    0.924357 ,       0 ,0.926269 ,0.0192404         ,1
  0.001737 ,    0.16031  ,       0 ,0.162047 ,0.0134397         ,1
  0.005306 ,    1.97811  ,       0 ,1.98341  ,0.0189286         ,1
  0.002813 ,    0.208889 ,       0 ,0.211702 ,0.0139717         ,1
  0.001912 ,    1.08722  ,       0 ,1.08914  ,0.0172615         ,1
  0.009498 ,    1.02138  ,       0 ,1.03087  ,0.0206825         ,1
  0.00634  ,    1.77143  ,       0 ,1.77777  ,0.0149745         ,1
