time     ,t    ,pose_x ,pose_y ,pose_z   ,pose_roll ,pose_pitch ,pose_yaw ,foot0_x ,foot0_y   ,foot0_z     ,foot1_x ,foot1_y   ,foot1_z     ,foot2_x  ,foot2_y   ,foot2_z     ,foot3_x ,foot3_y   ,foot3_z     ,foot4_x ,foot4_y   ,foot4_z     ,foot5_x  ,foot5_y  ,foot5_z     ,cfg0_x      ,cfg0_y      ,cfg0_z      ,cfg1_x     ,cfg1_y      ,cfg1_z     ,cfg2_x    ,cfg2_y      ,cfg2_z      ,cfg3_x     ,cfg3_y       ,cfg3_z      ,cfg4_x      ,cfg4_y      ,cfg4_z      ,cfg5_x      ,cfg5_y      ,cfg5_z      ,cfg0_dx      ,cfg0_dy      ,cfg0_dz     ,cfg1_dx      ,cfg1_dy      ,cfg1_dz      ,cfg2_dx      ,cfg2_dy      ,cfg2_dz     ,cfg3_dx      ,cfg3_dy      ,cfg3_dz      ,cfg4_dx      ,cfg4_dy      ,cfg4_dz      ,cfg5_dx      ,cfg5_dy      ,cfg5_dz     ,foot0_sdf   ,foot1_sdf    ,foot2_sdf    ,foot3_sdf    ,foot4_sdf    ,foot5_sdf    ,support0 ,support1 ,support2 ,support3 ,support4 ,support5
 1.02623 ,0    , 1     ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.35    ,-0.279998 ,1.62381e-06 ,1.05    ,-0.34     ,0           ,0.649998 ,-0.279998 ,1.62381e-06 ,1.35    ,0.28      ,0           ,1.05    ,0.339998  ,1.62381e-06 ,0.65     ,0.28     ,0           ,-0.0175394  ,1.48075     ,1.12698     ,-0.0175394 ,1.48075     ,1.12698    ,0.0175394 ,1.48075     ,1.12698     ,-0.0175394 ,1.48075      ,1.12698     ,-0.0175394  ,1.48075     ,1.12698     ,0.0175394   ,1.48075     ,1.12698     ,-7.20104e-07 ,-0.14382     ,-0.136095   ,nan          ,nan          ,nan          ,7.20104e-07  ,-0.14382     ,-0.136095   ,nan          ,nan          ,nan          ,-7.20104e-07 ,-0.14382     ,-0.136095    ,nan          ,nan          ,nan         ,1.62381e-06 ,0            ,1.62381e-06  ,0            ,1.62381e-06  ,0            ,       1 ,       1 ,       1 ,       1 ,       1 ,       1
 1.02628 ,0.05 , 1.005 ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.35581 ,-0.278516 ,0.0203193   ,1.05    ,-0.34     ,0           ,0.655843 ,-0.278476 ,0.0206625   ,1.35    ,0.28      ,0           ,1.05584 ,0.338459  ,0.020413    ,0.65     ,0.28     ,0           ,-0.013586   ,1.31504     ,0.972373    ,-0.0427183 ,1.4843      ,1.12485    ,0.0219541 ,1.31347     ,0.968938    ,-0.0427183 ,1.4843       ,1.12485     ,-0.0134492  ,1.31438     ,0.971579    ,-0.00749235 ,1.4769      ,1.12938     ,0.00643045   ,-0.130409    ,-0.119844   ,nan          ,nan          ,nan          ,0.00709319   ,-0.129678    ,-0.122325   ,nan          ,nan          ,nan          ,0.00663143   ,-0.130603    ,-0.120307    ,nan          ,nan          ,nan         ,0.0203193   ,0            ,0.0206625    ,0            ,0.020413     ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.06669 ,0.1  , 1.01  ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.36306 ,-0.274759 ,0.0375883   ,1.05    ,-0.34     ,0           ,0.663201 ,-0.27464  ,0.0383964   ,1.35    ,0.28      ,0           ,1.06316 ,0.334531  ,0.0378078   ,0.65     ,0.28     ,0           ,-0.00227168 ,1.16559     ,0.837205    ,-0.0680149 ,1.48756     ,1.12298    ,0.0345874 ,1.16352     ,0.827721    ,-0.0680149 ,1.48756      ,1.12298     ,-0.00174211 ,1.16411     ,0.835157    ,-0.0323487  ,1.4728      ,1.13206     ,0.0121818    ,-0.116925    ,-0.103917   ,nan          ,nan          ,nan          ,0.0134388    ,-0.115495    ,-0.108581   ,nan          ,nan          ,nan          ,0.0125644    ,-0.117264    ,-0.104783    ,nan          ,nan          ,nan         ,0.0375883   ,0            ,0.0383964    ,0            ,0.0378078    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.10654 ,0.15 , 1.015 ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.37146 ,-0.269666 ,0.0517513   ,1.05    ,-0.34     ,0           ,0.67176  ,-0.269478 ,0.0531073   ,1.35    ,0.28      ,0           ,1.07168 ,0.329154  ,0.052111    ,0.65     ,0.28     ,0           ,0.015582    ,1.03248     ,0.72109     ,-0.0933985 ,1.49048     ,1.12135    ,0.0545257 ,1.03095     ,0.703298    ,-0.0933985 ,1.49048      ,1.12135     ,0.0167343   ,1.03009     ,0.717395    ,-0.057003   ,1.46847     ,1.13503     ,0.0172534    ,-0.103367    ,-0.088313   ,nan          ,nan          ,nan          ,0.0190375    ,-0.101272    ,-0.0948639  ,nan          ,nan          ,nan          ,0.0177983    ,-0.103804    ,-0.089524    ,nan          ,nan          ,nan         ,0.0517513   ,0            ,0.0531073    ,0            ,0.052111     ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.14685 ,0.2  , 1.02  ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.38075 ,-0.264027 ,0.0629664   ,1.05    ,-0.34     ,0           ,0.681217 ,-0.263805 ,0.0649242   ,1.35    ,0.28      ,0           ,1.08108 ,0.323126  ,0.0634659   ,0.65     ,0.28     ,0           ,0.0391536   ,0.915798    ,0.623635    ,-0.118837  ,1.49306     ,1.11995    ,0.0808555 ,0.915791    ,0.595638    ,-0.118837  ,1.49306      ,1.11995     ,0.0411324   ,0.912459    ,0.617974    ,-0.0814302  ,1.46394     ,1.13831     ,0.0216452    ,-0.0897377   ,-0.0730331  ,nan          ,nan          ,nan          ,0.0238893    ,-0.0870093   ,-0.0811734  ,nan          ,nan          ,nan          ,0.022333     ,-0.0902218   ,-0.0745289   ,nan          ,nan          ,nan         ,0.0629664   ,0            ,0.0649242    ,0            ,0.0634659    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.18689 ,0.25 , 1.025 ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.39071 ,-0.258472 ,0.0715261   ,1.05    ,-0.34     ,0           ,0.691325 ,-0.258262 ,0.0741134   ,1.35    ,0.28      ,0           ,1.09116 ,0.317089  ,0.0721548   ,0.65     ,0.28     ,0           ,0.0676215   ,0.815628    ,0.544448    ,-0.144299  ,1.49527     ,1.11879    ,0.112663  ,0.818106    ,0.504708    ,-0.144299  ,1.49527      ,1.11879     ,0.0706044   ,0.811369    ,0.536572    ,-0.105607   ,1.45923     ,1.1419      ,0.0253571    ,-0.0760352   ,-0.0580768  ,nan          ,nan          ,nan          ,0.0279943    ,-0.0727068   ,-0.0675096  ,nan          ,nan          ,nan          ,0.0261686    ,-0.0765187   ,-0.0597979   ,nan          ,nan          ,nan         ,0.0715261   ,0            ,0.0741134    ,0            ,0.0721548    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.22653 ,0.3  , 1.03  ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.40121 ,-0.253476 ,0.0777886   ,1.05    ,-0.34     ,0           ,0.701923 ,-0.253326 ,0.0810056   ,1.35    ,0.28      ,0           ,1.10175 ,0.311532  ,0.0785289   ,0.65     ,0.28     ,0           ,0.100164    ,0.732061    ,0.483141    ,-0.169751  ,1.4971      ,1.11785    ,0.149035  ,0.73794     ,0.430474    ,-0.169751  ,1.4971       ,1.11785     ,0.104303    ,0.726966    ,0.47287     ,-0.129512   ,1.45437     ,1.14582     ,0.0283893    ,-0.0622599   ,-0.0434441  ,nan          ,nan          ,nan          ,0.0313524    ,-0.0583643   ,-0.0538723  ,nan          ,nan          ,nan          ,0.029305     ,-0.0626942   ,-0.0453311   ,nan          ,nan          ,nan         ,0.0777887   ,0            ,0.0810057    ,0            ,0.0785289    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.26661 ,0.35 , 1.035 ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.41217 ,-0.249373 ,0.0821214   ,1.05    ,-0.34     ,0           ,0.712927 ,-0.249325 ,0.0859382   ,1.35    ,0.28      ,0           ,1.11278 ,0.306802  ,0.0829524   ,0.65     ,0.28     ,0           ,0.135961    ,0.665184    ,0.43932     ,-0.19516   ,1.49853     ,1.11712    ,0.189058  ,0.675342    ,0.372906    ,-0.19516   ,1.49853      ,1.11712     ,0.14138     ,0.659398    ,0.426547    ,-0.153125   ,1.44941     ,1.15009     ,0.0307417    ,-0.048412    ,-0.0291351  ,nan          ,nan          ,nan          ,0.0339636    ,-0.0439819   ,-0.0402616  ,nan          ,nan          ,nan          ,0.0317423    ,-0.0487483   ,-0.0311285   ,nan          ,nan          ,nan         ,0.0821214   ,0            ,0.0859382    ,0            ,0.0829524    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.30649 ,0.4  , 1.04  ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.4236  ,-0.246374 ,0.0848585   ,1.05    ,-0.34     ,0           ,0.724324 ,-0.246466 ,0.0892123   ,1.35    ,0.28      ,0           ,1.12424 ,0.303127  ,0.085758    ,0.65     ,0.28     ,0           ,0.174189    ,0.615085    ,0.412595    ,-0.220493  ,1.49957     ,1.11661    ,0.231818  ,0.630361    ,0.331969    ,-0.220493  ,1.49957      ,1.11661     ,0.180988    ,0.608812    ,0.397283    ,-0.176428   ,1.44436     ,1.15471     ,0.0324143    ,-0.0344913   ,-0.0151498  ,nan          ,nan          ,nan          ,0.035828     ,-0.0295596   ,-0.0266775  ,nan          ,nan          ,nan          ,0.0334804    ,-0.034681    ,-0.0171902   ,nan          ,nan          ,nan         ,0.0848586   ,0            ,0.0892123    ,0            ,0.085758     ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
 1.34673 ,0.45 , 1.045 ,     0 ,0.24     ,-0        ,         0 ,-0       ,1.43553 ,-0.244591 ,0.0862706   ,1.05    ,-0.34     ,0           ,0.736148 ,-0.244848 ,0.0910638   ,1.35    ,0.28      ,0           ,1.13616 ,0.300631  ,0.0872155   ,0.65     ,0.28     ,0           ,0.214028    ,0.581853    ,0.402574    ,-0.245716  ,1.50019     ,1.1163     ,0.276402  ,0.603045    ,0.307632    ,-0.245716  ,1.50019      ,1.1163      ,0.22228     ,0.575353    ,0.384758    ,-0.199406   ,1.43925     ,1.15971     ,0.033407     ,-0.0204978   ,-0.00148814 ,nan          ,nan          ,nan          ,0.0369454    ,-0.0150974   ,-0.01312    ,nan          ,nan          ,nan          ,0.0345193    ,-0.0204923   ,-0.00351605  ,nan          ,nan          ,nan         ,0.0862707   ,0            ,0.0910638    ,0            ,0.0872155    ,0            ,       0 ,       1 ,       0 ,       1 ,       0 ,       1
