normalTime, criticalTime, miscTime, totTime, minCostFunctional, optRetType
0.005114, 0.180285, 0, 0.185399, 0.0138743, 1
0.00216, 0.13413, 0, 0.13629, 0.0140541, 1
0.001365, 0.149553, 0, 0.150918, 0.0139165, 1
0.003845, 0.530302, 0, 0.534147, 0.0145095, 1
0.001854, 2.01554, 0, 2.01739, 0.0154566, 1
0.001553, 0.523584, 0, 0.525137, 0.0145354, 1
0.005562, 1.60977, 0, 1.61533, inf, -1009
0.004389, 0.254047, 0, 0.258436, 0.0138839, 1
0.002986, 0.252036, 0, 0.255022, 0.013592, 1
0.002789, 0.191637, 0, 0.194426, 0.0137579, 1
0.002658, 1.40323, 0, 1.40589, 0.0359497, 1
0.001634, 0.169555, 0, 0.171189, 0.0137424, 1
0.004795, 0.291958, 0, 0.296753, 0.0135146, 1
0.003372, 0.263377, 0, 0.266749, 0.0138931, 1
0.005016, 2.64285, 0, 2.64786, 0.0152809, 1
0.004068, 0.174528, 0, 0.178596, 0.0138509, 1
0.001528, 0.17282, 0, 0.174348, 0.0138431, 1
0.001292, 0.169012, 0, 0.170304, 0.0138604, 1
0.006829, 0.333403, 0, 0.340232, 0.0130335, 1
0.006898, 0.301533, 0, 0.308431, 0.0137426, 1
0.005506, 3.50243, 0, 3.50793, 0.0360457, 1
0.004406, 0.181035, 0, 0.185441, 0.0137832, 1
0.002014, 1.28023, 0, 1.28224, 0.0149686, 1
0.002024, 5.16023, 0, 5.16225, inf, -1009
0.003819, 0.20275, 0, 0.206569, 0.0150042, 1
0.001888, 0.103, 0, 0.104888, 0.0137998, 1
0.001564, 0.124212, 0, 0.125776, 0.0141118, 1
0.005159, 0.264791, 0, 0.26995, 0.013962, 1
0.002841, 0.267156, 0, 0.269997, 0.0148328, 1
0.003877, 2.2619, 0, 2.26578, 0.0307728, 1
0.004464, 0.201969, 0, 0.206433, 0.0151565, 1
0.003256, 0.18245, 0, 0.185706, 0.0140289, 1
0.001496, 0.116443, 0, 0.117939, 0.0134408, 1
0.008094, 1.64541, 0, 1.65351, 0.017607, 1
0.00604, 1.84409, 0, 1.85013, 0.0192404, 1
0.011622, 0.290761, 0, 0.302383, 0.0134397, 1
0.005905, 2.24697, 0, 2.25287, 0.0189286, 1
0.003218, 0.203681, 0, 0.206899, 0.0139717, 1
0.002291, 1.09711, 0, 1.0994, 0.0172615, 1
0.006027, 0.600093, 0, 0.60612, 0.0206825, 1
0.005248, 0.980669, 0, 0.985917, 0.0149745, 1
0.003993, 0.276464, 0, 0.280457, 0.0139001, 1
0.004917, 0.227872, 0, 0.232789, 0.0124463, 1
0.004083, 1.7005, 0, 1.70458, 0.0182128, 1
0.004572, 0.297722, 0, 0.302294, 0.0223155, 1
0.00391, 1.57789, 0, 1.5818, 0.0188641, 1
0.001646, 0.133189, 0, 0.134835, 0.0134409, 1
0.002134, 0.501047, 0, 0.503181, 0.0155622, 1
0.006376, 0.293958, 0, 0.300334, 0.0119658, 1
0.00535, 2.68429, 0, 2.68964, 0.0178683, 1
0.004923, 0.278532, 0, 0.283455, 0.0130967, 1
0.003843, 0.674542, 0, 0.678385, 0.0156889, 1
0.002026, 0.709253, 0, 0.711279, 0.0157478, 1
0.002016, 0.310153, 0, 0.312169, 0.0158457, 1
0.005315, 0.898295, 0, 0.90361, 0.0140378, 1
0.005087, 1.45121, 0, 1.4563, 0.0186896, 1
0.005076, 0.29303, 0, 0.298106, 0.01443, 1
0.003134, 0.10313, 0, 0.106264, 0.0141606, 1
0.001506, 0.172308, 0, 0.173814, 0.0150373, 1
0.001306, 0.129294, 0, 0.1306, 0.010206, 1
0.002995, 0.188268, 0, 0.191263, 0.014751, 1
0.002936, 0.524954, 0, 0.52789, 0.0174534, 1
0.001787, 0.536884, 0, 0.538671, 0.0142046, 1
0.005105, 0.101061, 0, 0.106166, 0.0119382, 1
0.014869, 1.66092, 0, 1.67579, 0.0160147, 1
0.002238, 4.38516, 0, 4.3874, inf, -1009
0.003607, 0.169063, 0, 0.17267, 0.0139945, 1
0.00247, 1.11986, 0, 1.12233, 0.0222698, 1
0.001779, 0.16154, 0, 0.163319, 0.0137503, 1
0.003672, 0.177947, 0, 0.181619, 0.0144057, 1
0.002159, 1.08086, 0, 1.08302, 0.0181608, 1
0.001404, 1.9082, 0, 1.9096, 0.0250976, 1
0.003479, 0.143685, 0, 0.147164, 0.014248, 1
0.001931, 0.677969, 0, 0.6799, 0.0179775, 1
0.001328, 0.993318, 0, 0.994646, 0.0166124, 1
0.004237, 0.197772, 0, 0.202009, 0.0137541, 1
0.001649, 0.19292, 0, 0.194569, 0.0135584, 1
0.001511, 0.169559, 0, 0.17107, 0.013231, 1
0.003624, 1.45098, 0, 1.4546, 0.0185554, 1
0.002846, 0.215958, 0, 0.218804, 0.0136313, 1
0.001955, 2.23365, 0, 2.23561, 0.0427985, 1
0.004076, 0.215144, 0, 0.21922, 0.0137557, 1
0.001992, 1.47641, 0, 1.4784, 0.0187889, 1
0.001873, 5.54739, 0, 5.54927, inf, -1009
0.005977, 5.96647, 0, 5.97244, inf, -1009
0.003972, 0.11617, 0, 0.120142, 0.014198, 1
0.001915, 0.133075, 0, 0.13499, 0.0130466, 1
0.003933, 0.807084, 0, 0.811017, 0.0173538, 1
0.001937, 0.177872, 0, 0.179809, 0.0154249, 1
0.001759, 0.83261, 0, 0.834369, 0.0186806, 1
0.005364, 0.306003, 0, 0.311367, 0.0146151, 1
0.005102, 0.279415, 0, 0.284517, 0.0143473, 1
0.003152, 0.247436, 0, 0.250588, 0.0153042, 1
0.004208, 1.23484, 0, 1.23905, 0.0190377, 1
0.001872, 0.170849, 0, 0.172721, 0.0181265, 1
0.001545, 0.187682, 0, 0.189227, 0.0144089, 1
0.005073, 0.260236, 0, 0.265309, 0.0142816, 1
0.003571, 0.171195, 0, 0.174766, 0.0136675, 1
0.002863, 0.446363, 0, 0.449226, 0.0187581, 1
0.00614, 0.312552, 0, 0.318692, 0.0138418, 1
0.003348, 0.236908, 0, 0.240256, 0.0111998, 1
0.003946, 2.07999, 0, 2.08394, 0.0174951, 1
0.004002, 0.18, 0, 0.184002, 0.013957, 1
0.002267, 1.62572, 0, 1.62799, 0.0190178, 1
0.001863, 0.429765, 0, 0.431628, 0.0371291, 1
0.005112, 0.262407, 0, 0.267519, 0.0143618, 1
0.003357, 0.25486, 0, 0.258217, 0.0142411, 1
0.002803, 0.335102, 0, 0.337905, 0.0168423, 1
0.004418, 0.90584, 0, 0.910258, 0.0170661, 1
0.002255, 0.744416, 0, 0.746671, 0.0181677, 1
0.001584, 0.729701, 0, 0.731285, 0.0146042, 1
0.005986, 0.261653, 0, 0.267639, 0.0143514, 1
0.00347, 1.40144, 0, 1.40491, 0.0153128, 1
0.004223, 0.593706, 0, 0.597929, 0.018355, 1
0.004209, 3.86771, 0, 3.87192, inf, -1009
0.002366, 0.174272, 0, 0.176638, 0.0142045, 1
0.00152, 0.172881, 0, 0.174401, 0.014182, 1
0.005512, 1.93317, 0, 1.93868, 0.0180076, 1
0.004528, 1.97821, 0, 1.98274, 0.0163362, 1
0.003566, 1.7468, 0, 1.75037, 0.01467, 1
0.004008, 0.206786, 0, 0.210794, 0.0138874, 1
0.001867, 0.19469, 0, 0.196557, 0.0138771, 1
0.001947, 1.69986, 0, 1.70181, 0.0162534, 1
0.006442, 8.55983, 0, 8.56627, inf, -1009
0.005287, 0.260138, 0, 0.265425, 0.0139643, 1
0.004983, 0.266264, 0, 0.271247, 0.013601, 1
0.006654, 0.289499, 0, 0.296153, 0.0138874, 1
0.00309, 0.233512, 0, 0.236602, 0.0133067, 1
0.004193, 2.36433, 0, 2.36852, 0.0182804, 1
0.008539, 0.270996, 0, 0.279535, 0.0137935, 1
0.017488, 2.83297, 0, 2.85046, 0.0236237, 1
0.005644, 5.70581, 0, 5.71146, inf, -1009
0.003073, 0.103843, 0, 0.106916, 0.014182, 1
0.00181, 1.29275, 0, 1.29456, 0.0186962, 1
