normalTime, criticalTime, miscTime, totTime, optRetType, trajLen, trajCtrl
0.660982, 0, 0, 0.660982, 1, 1.67389, 43.6859
0.64111, 0, 0, 0.64111, 1, 1.8328, 50.4763
0.572372, 0, 0, 0.572372, 1, 1.70359, 44.7445
0.784658, 0, 0, 0.784658, 1, 2.05563, 60.2326
0.602711, 0, 0, 0.602711, 1, 2.27976, 73.2049
0.615098, 0, 0, 0.615098, 1, 2.14739, 64.9674
0.838834, 0, 0, 0.838834, 1, 2.1499, 65.7252
1.02562, 0, 0, 1.02562, 1, 1.75828, 48.9187
0.787327, 0, 0, 0.787327, 1, 2.10072, 63.4625
6.74455, 0, 0, 6.74455, 1, 5.55117, 445.542
0.59858, 0, 0, 0.59858, 1, 2.24882, 69.5581
0.652837, 0, 0, 0.652837, 1, 1.98472, 58.1338
0.74961, 0, 0, 0.74961, 1, 1.79955, 51.6456
13.5041, 0, 0, 13.5041, 1, 5.37877, 509.395
0.609251, 0, 0, 0.609251, 1, 2.10047, 62.7712
0.708632, 0, 0, 0.708632, 1, 1.88111, 55.9207
0.67614, 0, 0, 0.67614, 1, 2.021, 58.76
1.55711, 0, 0, 1.55711, 1, 1.77544, 50.9838
12.3613, 0, 0, 12.3613, 1, 5.28878, 562.592
0.689306, 0, 0, 0.689306, 1, 1.95019, 56.1701
0.734629, 0, 0, 0.734629, 1, 1.71847, 47.7242
0.586973, 0, 0, 0.586973, 1, 1.71375, 45.3866
15.2404, 0, 0, 15.2404, 1, 6.15512, 927.785
2.70562, 0, 0, 2.70562, 1, 4.42657, 284.905
1.36005, 0, 0, 1.36005, 1, 2.21805, 70.5409
0.96295, 0, 0, 0.96295, 1, 1.89199, 56.5584
0.861446, 0, 0, 0.861446, 1, 2.18924, 63.2725
4.84637, 0, 0, 4.84637, 1, 4.17481, 307.198
0.512834, 0, 0, 0.512834, 1, 1.60718, 36.5084
0.624516, 0, 0, 0.624516, 1, 1.49453, 35.5464
3.12279, 0, 0, 3.12279, 1, 1.71482, 54.3984
1.79905, 0, 0, 1.79905, 1, 2.07399, 50.8529
7.4315, 0, 0, 7.4315, 0, 3.02481, 106.15
10.1464, 0, 0, 10.1464, 0, 3.05122, 168.635
8.11122, 0, 0, 8.11122, 0, 3.02088, 169.035
7.6667, 0, 0, 7.6667, 0, 3.14368, 201.937
8.0108, 0, 0, 8.0108, 0, 3.05271, 120.904
8.96044, 0, 0, 8.96044, 0, 3.18208, 157.668
6.67608, 0, 0, 6.67608, 0, 2.9911, 138.323
10.1917, 0, 0, 10.1917, 0, 3.1201, 161.339
6.95054, 0, 0, 6.95054, 0, 3.14858, 179.596
6.60969, 0, 0, 6.60969, 0, 3.05512, 158.893
10.2961, 0, 0, 10.2961, 0, 3.0493, 124.379
8.66086, 0, 0, 8.66086, 0, 3.07373, 155.652
8.26501, 0, 0, 8.26501, 0, 3.0397, 182.762
11.3859, 0, 0, 11.3859, 0, 3.08695, 189.971
6.73792, 0, 0, 6.73792, 1, 5.0314, 1089.58
1.00638, 0, 0, 1.00638, 1, 1.8305, 48.0197
6.36851, 0, 0, 6.36851, 0, 3.4011, 431.823
5.91706, 0, 0, 5.91706, 0, 3.4274, 405.182
6.9858, 0, 0, 6.9858, 0, 3.53476, 670.751
5.77643, 0, 0, 5.77643, 0, 3.40167, 495.873
5.0015, 0, 0, 5.0015, 0, 3.41261, 508.312
6.61219, 0, 0, 6.61219, 0, 3.42453, 462.539
6.69587, 0, 0, 6.69587, 0, 3.53799, 694.468
5.60806, 0, 0, 5.60806, 0, 3.44169, 425.512
6.07779, 0, 0, 6.07779, 0, 3.41414, 571.435
5.3831, 0, 0, 5.3831, 0, 3.40306, 510.946
7.53885, 0, 0, 7.53885, 0, 3.46373, 488.285
5.96119, 0, 0, 5.96119, 0, 3.47054, 536.97
7.63667, 0, 0, 7.63667, 0, 3.49339, 640.15
7.35423, 0, 0, 7.35423, 0, 3.5371, 668.193
9.18387, 0, 0, 9.18387, 0, 3.44406, 515.176
8.38959, 0, 0, 8.38959, 0, 3.41259, 430.807
6.03878, 0, 0, 6.03878, 0, 3.43398, 533.868
5.54715, 0, 0, 5.54715, 0, 3.39827, 453.693
6.03981, 0, 0, 6.03981, 0, 3.40887, 500.744
7.46019, 0, 0, 7.46019, 0, 3.41147, 418.764
7.46047, 0, 0, 7.46047, 0, 3.46178, 647.788
6.36882, 0, 0, 6.36882, 1, 5.44045, 885.921
0.65688, 0, 0, 0.65688, 1, 1.65805, 41.8421
3.73001, 0, 0, 3.73001, 1, 2.79812, 117.995
1.30349, 0, 0, 1.30349, 1, 2.08163, 61.9292
0.75855, 0, 0, 0.75855, 1, 2.01729, 58.1578
0.976725, 0, 0, 0.976725, 1, 1.6793, 40.2927
0.549002, 0, 0, 0.549002, 1, 1.73305, 44.6898
0.56005, 0, 0, 0.56005, 1, 1.90331, 59.5097
1.72108, 0, 0, 1.72108, 1, 2.79507, 109.801
1.82302, 0, 0, 1.82302, 1, 2.33059, 73.9695
