normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 53.041631 ,Find Concave Points ,Visibility Graph Init ,A* Search
         0 ,    0.242914 ,       0 ,0.242914 ,  53.0416  ,                            0.080411 ,           0.001277 ,             0.001706 , 0.15952
         0 ,    0.118594 ,       0 ,0.118594 ,  38.9706  ,                            0.049622 ,           0.00055  ,             0.00041  , 0.068012
         0 ,    0.132381 ,       0 ,0.132381 ,  38.9706  ,                            0.056392 ,           0.000451 ,             0.000461 , 0.075077
         0 ,    0.264833 ,       0 ,0.264833 ,  57.5269  ,                            0.063934 ,           0.000551 ,             0.00034  , 0.200008
         0 ,    0.198629 ,       0 ,0.198629 ,  48.0416  ,                            0.069177 ,           0.000733 ,             0.000509 , 0.12821
         0 ,    0.183759 ,       0 ,0.183759 ,  75.4558  ,                            0.060643 ,           0.00059  ,             0.0006   , 0.121926
         0 ,    0.260933 ,       0 ,0.260933 ,  48.0416  ,                            0.052455 ,           0.000496 ,             0.000373 , 0.207609
         0 ,    0.109221 ,       0 ,0.109221 ,  39.799   ,                            0.049037 ,           0.000385 ,             0.000282 , 0.059517
         0 ,    0.117291 ,       0 ,0.117291 ,  51.2132  ,                            0.039936 ,           0.000515 ,             0.000246 , 0.076594
         0 ,    0.70491  ,       0 ,0.70491  ,  71.5269  ,                            0.089283 ,           0.000731 ,             0.000549 , 0.614347
         0 ,    0.171553 ,       0 ,0.171553 ,  37.799   ,                            0.059761 ,           0.00052  ,             0.000649 , 0.110623
         0 ,    0.15496  ,       0 ,0.15496  ,  43.799   ,                            0.05893  ,           0.000565 ,             0.00036  , 0.095105
         0 ,    0.250602 ,       0 ,0.250602 ,  76.0833  ,                            0.079476 ,           0.000917 ,             0.00096  , 0.169249
         0 ,    0.248897 ,       0 ,0.248897 ,  49.6274  ,                            0.066263 ,           0.000589 ,             0.000447 , 0.181598
         0 ,    0.482935 ,       0 ,0.482935 ,  81.2843  ,                            0.086255 ,           0.000781 ,             0.00065  , 0.395249
         0 ,    0.938495 ,       0 ,0.938495 ,  87.9117  ,                            0.085016 ,           0.000851 ,             0.000541 , 0.852087
         0 ,    1.89182  ,       0 ,1.89182  ,  90.0833  ,                            0.069545 ,           0.000847 ,             0.000525 , 1.8209
         0 ,    0.548838 ,       0 ,0.548838 ,  74.0833  ,                            0.054552 ,           0.000624 ,             0.000426 , 0.493236
         0 ,    0.707644 ,       0 ,0.707644 ,  69.1127  ,                            0.055194 ,           0.00063  ,             0.000376 , 0.651444
         0 ,    0.188224 ,       0 ,0.188224 ,  41.3848  ,                            0.052647 ,           0.000406 ,             0.00028  , 0.134891
         0 ,    0.650317 ,       0 ,0.650317 ,  77.3553  ,                            0.097188 ,           0.000931 ,             0.000728 , 0.55147
         0 ,    1.34347  ,       0 ,1.34347  ,  79.3553  ,                            0.089144 ,           0.000843 ,             0.000552 , 1.25293
         0 ,    1.38171  ,       0 ,1.38171  ,  87.598   ,                            0.098727 ,           0.000762 ,             0.000665 , 1.28155
         0 ,    0.18771  ,       0 ,0.18771  ,  57.4558  ,                            0.059796 ,           0.000605 ,             0.000418 , 0.126891
         0 ,    0.144798 ,       0 ,0.144798 ,  49.7279  ,                            0.064563 ,           0.000429 ,             0.000417 , 0.079389
         0 ,    0.398168 ,       0 ,0.398168 ,  75.8701  ,                            0.075773 ,           0.000568 ,             0.000385 , 0.321442
         0 ,    0.371267 ,       0 ,0.371267 ,  91.598   ,                            0.097311 ,           0.000906 ,             0.000688 , 0.272362
         0 ,    0.51774  ,       0 ,0.51774  ,  55.2132  ,                            0.068154 ,           0.000682 ,             0.000576 , 0.448328
         0 ,    0.179701 ,       0 ,0.179701 ,  50.3848  ,                            0.066259 ,           0.000612 ,             0.000572 , 0.112258
         0 ,    0.383987 ,       0 ,0.383987 ,  55.4558  ,                            0.056364 ,           0.000658 ,             0.000711 , 0.326254
         0 ,    0.878475 ,       0 ,0.878475 ,  71.598   ,                            0.079657 ,           0.000835 ,             0.000486 , 0.797497
         0 ,    0.103277 ,       0 ,0.103277 ,  30.3137  ,                            0.043275 ,           0.000355 ,             0.000258 , 0.059389
         0 ,    0.18468  ,       0 ,0.18468  ,  56.9411  ,                            0.049831 ,           0.000593 ,             0.000345 , 0.133911
         0 ,    0.094394 ,       0 ,0.094394 ,  23.8995  ,                            0.039488 ,           0.000341 ,             0.000293 , 0.054272
         0 ,    0.191949 ,       0 ,0.191949 ,  39.3848  ,                            0.053777 ,           0.000591 ,             0.000649 , 0.136932
         0 ,    0.277319 ,       0 ,0.277319 ,  67.3553  ,                            0.071522 ,           0.000809 ,             0.000615 , 0.204373
         0 ,    0.515325 ,       0 ,0.515325 ,  75.5269  ,                            0.084517 ,           0.000798 ,             0.000637 , 0.429373
         0 ,    0.123133 ,       0 ,0.123133 ,  36.5563  ,                            0.048005 ,           0.00043  ,             0.00031  , 0.074388
         0 ,    0.123956 ,       0 ,0.123956 ,  38.1421  ,                            0.049377 ,           0.000401 ,             0.000292 , 0.073886
         0 ,    0.109003 ,       0 ,0.109003 ,  27.8995  ,                            0.056248 ,           0.000342 ,             0.000293 , 0.05212
         0 ,    0.700236 ,       0 ,0.700236 ,  76.6985  ,                            0.085189 ,           0.000547 ,             0.000601 , 0.613899
         0 ,    0.244121 ,       0 ,0.244121 ,  37.799   ,                            0.046955 ,           0.000503 ,             0.00032  , 0.196343
         0 ,    0.233814 ,       0 ,0.233814 ,  70.0122  ,                            0.071571 ,           0.000644 ,             0.000603 , 0.160996
         0 ,    0.729472 ,       0 ,0.729472 ,  84.2843  ,                            0.083841 ,           0.000655 ,             0.000497 , 0.644479
         0 ,    0.25938  ,       0 ,0.25938  ,  50.799   ,                            0.063881 ,           0.000579 ,             0.000357 , 0.194563
         0 ,    0.174481 ,       0 ,0.174481 ,  63.0416  ,                            0.078577 ,           0.000498 ,             0.000353 , 0.095053
         0 ,    1.51033  ,       0 ,1.51033  ,  98.9117  ,                            0.103264 ,           0.000904 ,             0.000538 , 1.40563
         0 ,    0.174176 ,       0 ,0.174176 ,  51.7279  ,                            0.06595  ,           0.000479 ,             0.000515 , 0.107232
         0 ,    0.192181 ,       0 ,0.192181 ,  58.9411  ,                            0.071403 ,           0.00063  ,             0.000333 , 0.119815
         0 ,    0.220763 ,       0 ,0.220763 ,  49.2132  ,                            0.074719 ,           0.000632 ,             0.000359 , 0.145053
         0 ,    0.229233 ,       0 ,0.229233 ,  77.1543  ,                            0.083409 ,           0.000684 ,             0.000338 , 0.144802
         0 ,    1.38844  ,       0 ,1.38844  , 102.426   ,                            0.069947 ,           0.000997 ,             0.000707 , 1.31679
         0 ,    0.566976 ,       0 ,0.566976 ,  60.7696  ,                            0.087845 ,           0.00094  ,             0.00068  , 0.477511
         0 ,    0.204918 ,       0 ,0.204918 ,  49.8701  ,                            0.061192 ,           0.00062  ,             0.000538 , 0.142568
         0 ,    0.528596 ,       0 ,0.528596 ,  59.1127  ,                            0.077133 ,           0.000813 ,             0.000754 , 0.449896
         0 ,    0.239999 ,       0 ,0.239999 ,  43.8701  ,                            0.055823 ,           0.00051  ,             0.00033  , 0.183336
         0 ,    0.241928 ,       0 ,0.241928 ,  38.799   ,                            0.054267 ,           0.00048  ,             0.000388 , 0.186793
         0 ,    1.65119  ,       0 ,1.65119  ,  76.0416  ,                            0.087663 ,           0.000669 ,             0.000564 , 1.56229
         0 ,    0.175696 ,       0 ,0.175696 ,  36.799   ,                            0.060314 ,           0.000891 ,             0.000723 , 0.113768
         0 ,    1.22587  ,       0 ,1.22587  ,  97.8406  ,                            0.106244 ,           0.000987 ,             0.000697 , 1.11794
         0 ,    0.131332 ,       0 ,0.131332 ,  34.1421  ,                            0.053647 ,           0.000473 ,             0.000641 , 0.076571
         0 ,    0.174205 ,       0 ,0.174205 ,  48.2132  ,                            0.068265 ,           0.000693 ,             0.000409 , 0.104838
         0 ,    0.21226  ,       0 ,0.21226  ,  54.8701  ,                            0.067246 ,           0.000643 ,             0.000486 , 0.143885
         0 ,    3.67901  ,       0 ,3.67901  , 110.669   ,                            0.109206 ,           0.001086 ,             0.000586 , 3.56813
         0 ,    0.264656 ,       0 ,0.264656 ,  56.799   ,                            0.058849 ,           0.000709 ,             0.000357 , 0.204741
         0 ,    0.283294 ,       0 ,0.283294 ,  47.4558  ,                            0.074272 ,           0.00065  ,             0.000554 , 0.207818
         0 ,    2.39411  ,       0 ,2.39411  ,  85.669   ,                            0.091873 ,           0.00095  ,             0.000801 , 2.30049
         0 ,    0.182169 ,       0 ,0.182169 ,  37.7279  ,                            0.075158 ,           0.000975 ,             0.001098 , 0.104938
         0 ,    0.706536 ,       0 ,0.706536 ,  71.598   ,                            0.076031 ,           0.000739 ,             0.000655 , 0.629111
         0 ,    0.464582 ,       0 ,0.464582 ,  71.3553  ,                            0.08288  ,           0.00067  ,             0.00028  , 0.380752
         0 ,    0.112582 ,       0 ,0.112582 ,  33.5563  ,                            0.05642  ,           0.000342 ,             0.000303 , 0.055517
         0 ,    0.303759 ,       0 ,0.303759 ,  50.3848  ,                            0.065837 ,           0.000539 ,             0.000325 , 0.237058
         0 ,    0.636662 ,       0 ,0.636662 ,  52.2843  ,                            0.072227 ,           0.000661 ,             0.00097  , 0.562804
         0 ,    0.114919 ,       0 ,0.114919 ,  26.2426  ,                            0.052164 ,           0.000244 ,             0.000342 , 0.062169
         0 ,    1.01042  ,       0 ,1.01042  , 101.882   ,                            0.09691  ,           0.00118  ,             0.000671 , 0.911657
         0 ,    0.231099 ,       0 ,0.231099 ,  55.5269  ,                            0.069123 ,           0.000583 ,             0.000439 , 0.160954
         0 ,    6.60795  ,       0 ,6.60795  , 123.912   ,                            0.103326 ,           0.001046 ,             0.000841 , 6.50273
         0 ,    0.305731 ,       0 ,0.305731 ,  59.1127  ,                            0.053276 ,           0.00068  ,             0.000328 , 0.251447
         0 ,    0.287073 ,       0 ,0.287073 ,  57.4558  ,                            0.049381 ,           0.000536 ,             0.000301 , 0.236855
         0 ,    0.350181 ,       0 ,0.350181 ,  59.9411  ,                            0.064462 ,           0.000708 ,             0.000659 , 0.284352
         0 ,    2.0024   ,       0 ,2.0024   ,  97.6396  ,                            0.092432 ,           0.001068 ,             0.000624 , 1.90827
         0 ,    1.13174  ,       0 ,1.13174  ,  91.0833  ,                            0.083813 ,           0.000786 ,             0.00067  , 1.04648
         0 ,    0.188956 ,       0 ,0.188956 ,  43.9706  ,                            0.060903 ,           0.000483 ,             0.000361 , 0.127209
         0 ,    1.7947   ,       0 ,1.7947   ,  55.1127  ,                            0.068759 ,           0.000618 ,             0.00045  , 1.72487
         0 ,    0.102918 ,       0 ,0.102918 ,  43.2132  ,                            0.037952 ,           0.000796 ,             0.000897 , 0.063273
         0 ,    0.099774 ,       0 ,0.099774 ,  27.7279  ,                            0.036108 ,           0.000364 ,             0.000274 , 0.063028
         0 ,    0.324001 ,       0 ,0.324001 ,  49.2132  ,                            0.057289 ,           0.000508 ,             0.000317 , 0.265887
         0 ,    1.5264   ,       0 ,1.5264   ,  91.598   ,                            0.096674 ,           0.00087  ,             0.000564 , 1.42829
         0 ,    1.14576  ,       0 ,1.14576  ,  86.0833  ,                            0.079899 ,           0.000908 ,             0.000795 , 1.06416
         0 ,    1.00301  ,       0 ,1.00301  ,  81.3553  ,                            0.1003   ,           0.000916 ,             0.000756 , 0.901035
         0 ,    0.531227 ,       0 ,0.531227 ,  73.6985  ,                            0.059549 ,           0.000531 ,             0.000652 , 0.470495
         0 ,    1.95931  ,       0 ,1.95931  ,  76.8406  ,                            1.51069  ,           0.001024 ,             0.000898 , 0.4467
         0 ,    0.199226 ,       0 ,0.199226 ,  47.9706  ,                            0.054939 ,           0.000508 ,             0.000416 , 0.143363
         0 ,    0.379808 ,       0 ,0.379808 ,  77.8701  ,                            0.070018 ,           0.000626 ,             0.000464 , 0.3087
         0 ,    0.105067 ,       0 ,0.105067 ,  62.3848  ,                            0.054075 ,           0.000361 ,             0.000351 , 0.05028
         0 ,    0.109483 ,       0 ,0.109483 ,  34.3137  ,                            0.052654 ,           0.000381 ,             0.000371 , 0.056077
         0 ,    0.543087 ,       0 ,0.543087 ,  91.1543  ,                            0.066788 ,           0.000727 ,             0.000564 , 0.475008
