normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 72.769553 ,Find Concave Points ,Visibility Graph Init ,A* Search ,Insert Vertical Key Point
         0 ,    0.900034 ,       0 ,0.900034 ,  72.7696  ,                            0.277217 ,           0.0058   ,             0.004254 , 0.610162 ,                 0.002601
         0 ,    0.320664 ,       0 ,0.320664 ,  46.1421  ,                            0.158889 ,           0.001347 ,             0.001509 , 0.158062 ,                 0.000857
         0 ,    0.19864  ,       0 ,0.19864  ,  57.7696  ,                            0.078975 ,           0.000691 ,             0.00083  , 0.117831 ,                 0.000313
         0 ,    0.22065  ,       0 ,0.22065  ,  57.1838  ,                            0.073278 ,           0.000757 ,             0.000447 , 0.145898 ,                 0.00027
         0 ,    0.287473 ,       0 ,0.287473 ,  75.0122  ,                            0.062142 ,           0.000755 ,             0.00067  , 0.223139 ,                 0.000767
         0 ,    0.212897 ,       0 ,0.212897 ,  82.5685  ,                            0.074559 ,           0.000551 ,             0.000446 , 0.13709  ,                 0.000251
         0 ,    0.332659 ,       0 ,0.332659 ,  58.6985  ,                            0.046841 ,           0.000518 ,             0.000459 , 0.284387 ,                 0.000454
         0 ,    0.093908 ,       0 ,0.093908 ,  31.1421  ,                            0.039165 ,           0.000326 ,             0.000281 , 0.053894 ,                 0.000242
         0 ,    2.94691  ,       0 ,2.94691  , 110.397   ,                            0.091002 ,           0.000835 ,             0.000496 , 2.85379  ,                 0.000786
         0 ,    0.214939 ,       0 ,0.214939 ,  51.4558  ,                            0.057446 ,           0.000609 ,             0.000727 , 0.155631 ,                 0.000526
         0 ,    0.125595 ,       0 ,0.125595 ,  38.0416  ,                            0.053502 ,           0.000478 ,             0.00036  , 0.070999 ,                 0.000256
         0 ,    0.243007 ,       0 ,0.243007 ,  64.3553  ,                            0.093323 ,           0.000605 ,             0.000587 , 0.148252 ,                 0.00024
         0 ,    0.321214 ,       0 ,0.321214 ,  62.2843  ,                            0.046004 ,           0.000517 ,             0.000293 , 0.273994 ,                 0.000406
         0 ,    0.297889 ,       0 ,0.297889 ,  56.0416  ,                            0.05915  ,           0.000491 ,             0.000292 , 0.2375   ,                 0.000456
         0 ,    0.357086 ,       0 ,0.357086 ,  72.9117  ,                            0.067178 ,           0.000585 ,             0.000357 , 0.288623 ,                 0.000343
         0 ,    0.144379 ,       0 ,0.144379 ,  45.799   ,                            0.055102 ,           0.000476 ,             0.000274 , 0.088258 ,                 0.000269
         0 ,    0.266035 ,       0 ,0.266035 ,  52.0416  ,                            0.083435 ,           0.000526 ,             0.000367 , 0.18133  ,                 0.000377
         0 ,    0.156192 ,       0 ,0.156192 ,  38.1421  ,                            0.059927 ,           0.000515 ,             0.000552 , 0.094884 ,                 0.000314
         0 ,    0.230559 ,       0 ,0.230559 ,  51.6985  ,                            0.067046 ,           0.000569 ,             0.000359 , 0.162264 ,                 0.000321
         0 ,    0.163599 ,       0 ,0.163599 ,  54.8701  ,                            0.060158 ,           0.000551 ,             0.000288 , 0.102365 ,                 0.000237
         0 ,    1.20258  ,       0 ,1.20258  ,  98.1543  ,                            0.082483 ,           0.000637 ,             0.000487 , 1.11836  ,                 0.000608
         0 ,    0.552443 ,       0 ,0.552443 ,  74.5269  ,                            0.063711 ,           0.000739 ,             0.000588 , 0.487137 ,                 0.000268
         0 ,    0.637889 ,       0 ,0.637889 ,  76.1838  ,                            0.075239 ,           0.000812 ,             0.000548 , 0.560759 ,                 0.000531
